ip,country_code,country_name,city,latitude,longitude
42.200.201.166,hk,Hong Kong,Unknown,22.2578,114.1657
42.200.231.150,hk,Hong Kong,Unknown,22.2578,114.1657
42.200.64.154,hk,Hong Kong,Unknown,22.2578,114.1657
42.3.231.217,hk,Hong Kong,Unknown,22.2578,114.1657
42.98.61.186,hk,Hong Kong,Unknown,22.2578,114.1657
43.224.5.223,hk,Hong Kong,Unknown,22.2578,114.1657
43.250.62.188,hk,Hong Kong,Unknown,22.2578,114.1657
45.125.115.51,hk,Hong Kong,Tsz Wan Shan,22.3531,114.2027
45.125.115.6,hk,Hong Kong,Tsz Wan Shan,22.3531,114.2027
45.251.104.136,hk,Hong Kong,Unknown,22.2578,114.1657
58.177.181.75,hk,Hong Kong,Tai Kok Tsui,22.3157,114.159
58.177.189.214,hk,Hong Kong,Unknown,22.2578,114.1657
59.148.172.238,hk,Hong Kong,Unknown,22.2578,114.1657
59.148.68.26,hk,Hong Kong,Unknown,22.2578,114.1657
59.152.250.170,hk,Hong Kong,Tai Kok Tsui,22.3157,114.159
59.188.29.244,hk,Hong Kong,Unknown,22.2578,114.1657
61.238.240.78,hk,Hong Kong,Unknown,22.2578,114.1657
61.239.253.178,hk,Hong Kong,Unknown,22.2578,114.1657
61.244.144.154,hk,Hong Kong,Unknown,22.2578,114.1657
61.244.164.211,hk,Hong Kong,North Point,22.285,114.1953
61.244.240.210,hk,Hong Kong,Unknown,22.2578,114.1657
61.244.85.230,hk,Hong Kong,Wong Tai Sin,22.35,114.1833
61.244.93.89,hk,Hong Kong,Unknown,22.2578,114.1657
61.92.18.214,hk,Hong Kong,Unknown,22.2578,114.1657
61.92.255.102,hk,Hong Kong,Unknown,22.2578,114.1657
61.92.61.106,hk,Hong Kong,Unknown,22.2578,114.1657
61.93.14.86,hk,Hong Kong,Unknown,22.2578,114.1657
61.93.167.60,hk,Hong Kong,Unknown,22.2578,114.1657
61.93.208.82,hk,Hong Kong,Kowloon City,22.3356,114.1847
63.217.17.82,hk,Hong Kong,Hong Kong,22.2842,114.1759
72.255.228.232,hk,Hong Kong,Unknown,22.2578,114.1657
72.255.231.244,hk,Hong Kong,Unknown,22.2578,114.1657
72.255.237.121,hk,Hong Kong,Unknown,22.2578,114.1657
72.255.244.31,hk,Hong Kong,Unknown,22.2578,114.1657
72.255.254.130,hk,Hong Kong,Unknown,22.2578,114.1657
72.255.254.133,hk,Hong Kong,Unknown,22.2578,114.1657
8.210.17.17,hk,Hong Kong,Hong Kong,22.2842,114.1759
94.190.212.125,hk,Hong Kong,Unknown,22.2578,114.1657
